"firstname","lastname","username","primaryGroup","phone","mailPrimaryAddress","password","PasswordRecoveryEmail"
"Gundhart","Schnitker","gundhart.sch","cn=Domain Users,cn=groups,dc=uni,dc=dtr","+20-347-227046","gundhartm.schnitkerm@my.dom.ain","univention","gundhart.sch@example.com"
"Tizia","Holzkamp","tizia.holzka","cn=Domain Users,cn=groups,dc=uni,dc=dtr","+93-477-869669","tiziam.holzkampm@my.dom.ain","univention","tizia.holzka@example.com"
"Sigrun","Bronisch","sigrun.broni","cn=Domain Users,cn=groups,dc=uni,dc=dtr","+75-412-373819","sigrunm.bronischm@my.dom.ain","univention","sigrun.broni@example.com"
"Mechthild","Wöstmann","mechthild.wo","cn=Domain Users,cn=groups,dc=uni,dc=dtr","+09-258-776191","mechthildm.woestmannm@my.dom.ain","univention","mechthild.wo@example.com"
"Malinde","Menkhaus","malinde.menk","cn=Domain Users,cn=groups,dc=uni,dc=dtr","+02-102-627185","malindem.menkhausm@my.dom.ain","univention","malinde.menk@example.com"
"Siglind","Trampe","siglind.tram","cn=Domain Users,cn=groups,dc=uni,dc=dtr","+02-499-290081","siglindm.trampem@my.dom.ain","univention","siglind.tram@example.com"
"Carlos","Ewers","carlos.ewers","cn=Domain Users,cn=groups,dc=uni,dc=dtr","+32-568-506467","carlosm.ewersm@my.dom.ain","univention","carlos.ewers@example.com"
"Vicki","Rohling","vicki.rohlin","cn=Domain Users,cn=groups,dc=uni,dc=dtr","+81-622-49048","vickim.rohlingm@my.dom.ain","univention","vicki.rohlin@example.com"
"Vittorino","Wente","vittorino.we","cn=Domain Users,cn=groups,dc=uni,dc=dtr","+77-928-603156","vittorinom.wentem@my.dom.ain","univention","vittorino.we@example.com"
"Xenia","Holzkamp","xenia.holzka","cn=Domain Users,cn=groups,dc=uni,dc=dtr","+92-183-984230","xeniam.holzkampm@my.dom.ain","univention","xenia.holzka@example.com"
